Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
"If all, or a significant part of a stall strip is missing on an airplane wing, a likely result will be","When all, or a significant part of a stall strip is missing on an airplane wing, a likely result will be",asymmetrical lateral control at or near stall angles of attack.,decreased lift in the area of installation at high angles of attack.,asymmetrical lateral control at low angles of attack.,A
The purpose of stall strips on airplane wings is to,The purpose of stall strips on airplane wings is to,increase lift in the areas of installation.,prevent stall in the areas of installation.,ensure that the wing root areas stall first.,C
An airplane wing is designed to produce lift resulting from,An airplane wing is designed to produce lift resulting from,positive air pressure below and above the wing's surface along with the downward deflection of air.,positive air pressure below the wing's surface and negative air pressure above the wing's surface along with the downward deflection of air.,negative air pressure below the wing's surface and positive air pressure above the wing's surface along with the downward deflection of air.,B
The purpose of aircraft wing dihedral is to,The purpose of aircraft wing dihedral is to,increase lateral stability.,increase longitudinal stability.,increase lift coefficient of the wing.,A
Aspect ratio of a wing is defined as the ratio of the,Aspect ratio of a wing is defined as the ratio of the,wingspan to the wing root.,square of the chord to the wingspan.,wingspan to the mean chord.,C
A wing with a very high aspect ratio (in comparison with a low aspect ratio wing) will have,A wing with a very high aspect ratio (in comparison with a low aspect ratio wing) will have,increased drag at high angles of attack.,a low stall speed.,poor control qualities at low airspeeds.,B
The desired effect of using winglets on an aircraft's wingtips is to,The desired effect of using winglets on an aircraft's wingtips is to,increase the lift to drag ratio.,reduce the aspect ratio.,optimize wing dihedral and improve lateral stability,A
Airworthiness Directives are issued primarily to,Airworthiness Directives are issued primarily to,provide information about malfunction or defect trends.,present recommended maintenance procedures for correcting potentially hazardous defects.,correct an unsafe condition.,C
"(1) A Supplemental Type Certificate (STC) may be issued to more than one applicant for the same design change, providing each applicant shows compliance with the applicable airworthiness requirement.|(2) An installation of an item manufactured in accordance with the Technical Standard Order (TSO) system requires no further approval for installation in a particular aircraft.|Regarding the above statements,","(1) A Supplemental Type Certificate (STC) may be issued to more than one applicant for the same design change, providing each applicant shows compliance with the applicable airworthiness requirement.|(2) An installation of an item manufactured in accordance with the Technical Standard Order (TSO) system requires no further approval for installation in a particular aircraft.|Regarding the above statements,",both 1 and 2 are true.,neither 1 nor 2 is true.,only 1 is true.,C
Primary responsibility for compliance with Airworthiness Directives lies with the,Primary responsibility for compliance with Airworthiness Directives lies with the,aircraft owner or operator.,certificated mechanic holding an Inspection Authorization who conducts appropriate inspections.,certificated mechanic who maintains the aircraft.,A
An aircraft Type Certificate Data Sheet contains,An aircraft Type Certificate Data Sheet contains,maximum fuel grade to be used.,control surface adjustment points.,location of the datum.,C
Suitability for use of a specific propeller with a particular engine-airplane combination can be determined by reference to what informational source?,Suitability for use of a specific propeller with a particular engine-airplane combination can be determined by reference to what informational source?,Propeller Specifications or Propeller Type Certificate Data Sheet.,Aircraft Specifications or Aircraft Type Certificate Data Sheet.,"Alphabetical Index of Current Propeller Type Certificate Data Sheets, Specifications, and Listings.",B
"When an aircraft is sold domestically, the Airworthiness Certificate","When an aircraft is sold domestically, the Airworthiness Certificate",must be surrendered to the local Flight Standards District Office.,becomes invalid until the new owner makes application for a new Airworthiness Certificate.,is transferred with the aircraft at the time of sale.,C
The issuance of an Airworthiness Certificate is governed by,The issuance of an Airworthiness Certificate is governed by,14 CFR Part 23.,14 CFR Part 21.,14 CFR Part 39.,B
"Specifications pertaining to an aircraft model manufactured under a type certificate, of which less than 50 are shown on the FAA Aircraft Registry, can be found in the","Specifications pertaining to an aircraft model manufactured under a type certificate, of which less than 50 are shown on the FAA Aircraft Registry, can be found in the",Aircraft Listing.,Summary of Discontinued Aircraft Specifications.,FAA Statistical Handbook of Civil Aircraft Specifications.,A
Where are technical descriptions of certificated propellers found?,Where are technical descriptions of certificated propellers found?,Applicable Airworthiness Directives.,Aircraft Specifications.,Propeller Type Certificate Data Sheets.,C
What information is generally contained in Aircraft Specifications or Type Certificate Data Sheets?,What information is generally contained in Aircraft Specifications or Type Certificate Data Sheets?,Empty weight of the aircraft.,Useful load of aircraft.,Control surface movements.,C
Placards required on an aircraft are specified in,Placards required on an aircraft are specified in,AC 43.13-1B.,The Federal Aviation Regulations under which the aircraft was type certificated.,Aircraft Specifications or Type Certificate Data Sheets.,C
"Technical information about older aircraft models, of which no more than 50 remain in service, can be found in the","Technical information about older aircraft models, of which no more than 50 remain in service, can be found in the",Aircraft Listing.,Summary of Deleted and Discontinued Aircraft Specifications.,Index of Antique Aircraft.,A
Which of the following are sometimes used as authorization to deviate from an aircraft's original type design?,Which of the following are sometimes used as authorization to deviate from an aircraft's original type design?,"FAA Form 337, Supplemental Type Certificate, and Technical Standard Order.","Supplemental Type Certificate, Airworthiness Directive, and Technical Standard Order.","FAA Form 337, Supplemental Type Certificate, and Airworthiness Directive.",C
"(1) The Federal Aviation Regulations require approval after compliance with the data of a Supplemental Type Certificate.|(2) An installation of an item manufactured in accordance with the Technical Standard Order system requires no further approval for installation in a particular aircraft.|Regarding the above statements,","(1) The Federal Aviation Regulations require approval after compliance with the data of a Supplemental Type Certificate.|(2) An installation of an item manufactured in accordance with the Technical Standard Order system requires no further approval for installation in a particular aircraft.|Regarding the above statements,",only 2 is true.,neither 1 nor 2 is true.,only 1 is true.,C
Which regulation provides information regarding instrument range markings for an airplane certificated in the normal category?,Which regulation provides information regarding instrument range markings for an airplane certificated in the normal category?,14 CFR Part 21.,14 CFR Part 25.,14 CFR Part 23.,C
Which regulation provides the airworthiness standards for an airplane certificated in the normal category?,Which regulation provides the airworthiness standards for an airplane certificated in the normal category?,14 CFR Part 27.,14 CFR Part 25.,14 CFR Part 23.,C
"(1) Propellers are NOT included in the Airworthiness Directive system.|(2) A certificated powerplant mechanic may make a minor repair on an aluminum propeller and approve for return to service.|Regarding the above statements,","(1) Propellers are NOT included in the Airworthiness Directive system.|(2) A certificated powerplant mechanic may make a minor repair on an aluminum propeller and approve for return to service.|Regarding the above statements,",only 2 is true.,both 1 and 2 are true.,neither 1 nor 2 is true.,A
"An aircraft mechanic is privileged to perform major alterations on U.S. certificated aircraft; however, the work must be done in accordance with FAA-approved technical data before the aircraft can be returned to service. Which is NOT approved data?","An aircraft mechanic is privileged to perform major alterations on U.S. certificated aircraft; however, the work must be done in accordance with FAA-approved technical data before the aircraft can be returned to service. Which is NOT approved data?",Airworthiness Directives.,AC 43.13-2A.,Supplemental Type Certificates.,B
What is the maintenance recording responsibility of the person who complies with an Airworthiness Directive?,What is the maintenance recording responsibility of the person who complies with an Airworthiness Directive?,Advise the aircraft owner/operator of the work performed.,Make an entry in the maintenance record of that equipment.,"Advise the FAA office of the work performed, by submitting an FAA Form 337.",B
"(1) Manufacturer's data and FAA publications such as Airworthiness Directives, Type Certificate Data Sheets, and advisory circulars are all approved data.|(2) FAA publications such as Technical Standard Orders, Airworthiness Directives, Type Certificate Data Sheets, and Aircraft Specifications and Supplemental Type Certificates are all approved data.|Regarding the above statements,","(1) Manufacturer's data and FAA publications such as Airworthiness Directives, Type Certificate Data Sheets, and advisory circulars are all approved data.|(2) FAA publications such as Technical Standard Orders, Airworthiness Directives, Type Certificate Data Sheets, and Aircraft Specifications and Supplemental Type Certificates are all approved data.|Regarding the above statements,",both 1 and 2 are true.,only 1 is true.,only 2 is true.,C
"The Air Transport Association of America (ATA) Specification No. 100|(1) establishes a standard for the presentation of technical data in maintenance manuals.|(2) divides the aircraft into numbered systems and subsystems in order to simplify locating maintenance instructions.|Regarding the above statements,","The Air Transport Association of America (ATA) Specification No. 100|(1) establishes a standard for the presentation of technical data in maintenance manuals.|(2) divides the aircraft into numbered systems and subsystems in order to simplify locating maintenance instructions.|Regarding the above statements,",both 1 and 2 are true.,neither 1 nor 2 is true.,only 1 is true.,A
Aviation Maintenance Alerts (formerly General Aviation Airworthiness Alerts),Aviation Maintenance Alerts (formerly General Aviation Airworthiness Alerts),provide mandatory procedures to prevent or correct serious aircraft problems.,provide information about aircraft problems and suggested corrective actions.,provide temporary emergency procedures until Airworthiness Directives can be issued.,B
"(Refer to Figure 62, 62A, and 62B as necessary.) Which doubler(s) require(s) heat treatment before installation?","(Refer to Figure 62, 62A, and 62B as necessary.) Which doubler(s) require(s) heat treatment before installation?",-101,-102,Both.,B
"(Refer to Figure 62, 62A, & 62B as necessary.) How many parts will need to be fabricated by the mechanic in the construction and installation of one doubler?","(Refer to Figure 62, 62A, & 62B as necessary.) How many parts will need to be fabricated by the mechanic in the construction and installation of one doubler?",2.,3.,4.,B
"(Refer to Figure 62, 62A, and 62B as necessary.) Using only the information given (when bend allowance, set back, etc. have been calculated) which doubler is it possible to construct and install?","(Refer to Figure 62, 62A, and 62B as necessary.) Using only the information given (when bend allowance, set back, etc. have been calculated) which doubler is it possible to construct and install?",-101,-102,Both.,A
(Refer to Figure 62.) The -100 in the title block (Area 1) is applicable to which doubler part number(s)?,(Refer to Figure 62.) The -100 in the title block (Area 1) is applicable to which doubler part number(s)?,-101,-102,Both.,A
"An aircraft has a total time in service of 468 hours. The Airworthiness Directive given was initially complied with at 454 hours in service. How many additional hours in service may be accumulated before the Airworthiness Directive must again be complied with?||The following is the compliance portion of an Airworthiness Directive. 'Compliance required as indicated, unless already accomplished.|I. Aircraft with less that 500-hours' total time in service: Inspect in accordance with instructions below at 500-hours' total time, or within the next 50-hours' time in service after the effective date of this AD, and repeat after each subsequent 200 hours in service.|II. Aircraft with 500-hours' through 1,000-hours' total time in service: Inspect in accordance with instructions below within the next 50-hours' time in service after the effective date of this AD, and repeat after each subsequent 200 hours in service.|III. Aircraft with more than 1,000-hours' time in service: Inspect in accordance with instructions below within the next 25-hours' time in service after the effective date of this AD, and repeat after each subsequent 200 hours in service.'","An aircraft has a total time in service of 468 hours. The Airworthiness Directive given was initially complied with at 454 hours in service. How many additional hours in service may be accumulated before the Airworthiness Directive must again be complied with?||The following is the compliance portion of an Airworthiness Directive. 'Compliance required as indicated, unless already accomplished.|I. Aircraft with less that 500-hours' total time in service: Inspect in accordance with instructions below at 500-hours' total time, or within the next 50-hours' time in service after the effective date of this AD, and repeat after each subsequent 200 hours in service.|II. Aircraft with 500-hours' through 1,000-hours' total time in service: Inspect in accordance with instructions below within the next 50-hours' time in service after the effective date of this AD, and repeat after each subsequent 200 hours in service.|III. Aircraft with more than 1,000-hours' time in service: Inspect in accordance with instructions below within the next 25-hours' time in service after the effective date of this AD, and repeat after each subsequent 200 hours in service.'",46,200,186,C
"The following words are an example of what kind of statement in an AD? 'Required within the next 25 hours time-in-service after the effective date of this AD, unless already accomplished.","The following words are an example of what kind of statement in an AD? 'Required within the next 25 hours time-in-service after the effective date of this AD, unless already accomplished.",Amendment.,Compliance.,Applicability.,B
"The action required by an AD may take what form? |1. Inspection.|2. Part(s) replacement.|3. Design modification.|4. Change in operating procedure(s).|5. Overall change in the content, form and disposition of aircraft maintenance records.","The action required by an AD may take what form? |1. Inspection.|2. Part(s) replacement.|3. Design modification.|4. Change in operating procedure(s).|5. Overall change in the content, form and disposition of aircraft maintenance records.","1, 2, 3, and/or 4.","1, 2, 3, and/or 5.","1, 2, 3, 4, and/or 5.",A
Type Certificate Data Sheets are issued for which of the following products?,Type Certificate Data Sheets are issued for which of the following products?,"Aircraft, engines, and propellers.","Aircraft, engines, and appliances.","Aircraft, engines, propellers, and appliances.",A
The following is a table of airspeed limits as given in an FAA-issued aircraft specification:|Normal operating speed 260 knots|Never-exceed speed 293 knots|Maximum landing gear operation speed 174 knots|Maximum flap extended speed 139 knots|The high end of the white arc on the airspeed instrument would be at,The following is a table of airspeed limits as given in an FAA-issued aircraft specification:|Normal operating speed 260 knots|Never-exceed speed 293 knots|Maximum landing gear operation speed 174 knots|Maximum flap extended speed 139 knots|The high end of the white arc on the airspeed instrument would be at,260 knots.,293 knots.,139 knots.,C
When is a mechanic responsible for checking AD compliance?,When is a mechanic responsible for checking AD compliance?,"Never, the owner or operator is solely responsible.","When performing an inspection required under part 91, 125, or 135.",Anytime an aircraft or portion thereof is returned to service.,B
How long are AD compliance records required to be kept?,How long are AD compliance records required to be kept?,Until the work is repeated or superseded by other work.,"For one year after the work is performed, or until the work is repeated or superseded by other work.","They shall be retained, and then transferred with the aircraft when it is sold.",C
What does the Type Certificate Data Sheet designation code '2 PCSM' mean?,What does the Type Certificate Data Sheet designation code '2 PCSM' mean?,"Two place (number of seats), closed, sea, monoplane.","Two wing (biplane), primary category, semimonocoque (airframe).",Neither of the other two choices.,A
Which of the following includes all the regulatory definitions of 'maintenance'?,Which of the following includes all the regulatory definitions of 'maintenance'?,"Overhaul, repair, parts replacement, and preservation, and preventive maintenance.","Overhaul, repair, parts replacement, preservation, inspection, and preventive maintenance.","Overhaul, repair, parts replacement, inspection, and preservation.",C
What is the maximum penalty for cheating or other unauthorized conduct when taking an FAA mechanic test?,What is the maximum penalty for cheating or other unauthorized conduct when taking an FAA mechanic test?,Ineligibility to receive any certificate or rating for one year.,"Ineligibility to receive any certificate or rating for one year, and suspension or revocation of any certificate held.","Ineligibility to receive any certificate or rating for one year, and suspension of any certificate held.",B
"A complete detailed inspection and adjustment of the valve mechanism will be made at the first 25 hours after the engine has been placed in service. Subsequent inspections of the valve mechanism will be made each second 50-hour period.|From the above statement, at what intervals will valve mechanism inspections be performed?","A complete detailed inspection and adjustment of the valve mechanism will be made at the first 25 hours after the engine has been placed in service. Subsequent inspections of the valve mechanism will be made each second 50-hour period.|From the above statement, at what intervals will valve mechanism inspections be performed?",100 hours.,50 hours.,125 hours.,A
"Check thrust bearing nuts for tightness on new or newly overhauled engines at the first 50-hour inspection following installation. Subsequent inspections on thrust bearing nuts will be made at each third 50-hour inspection.|From the above statement, at what intervals should you check the thrust bearing nut for tightness?","Check thrust bearing nuts for tightness on new or newly overhauled engines at the first 50-hour inspection following installation. Subsequent inspections on thrust bearing nuts will be made at each third 50-hour inspection.|From the above statement, at what intervals should you check the thrust bearing nut for tightness?",150 hours.,200 hours.,250 hours.,A
Certificated mechanics with a powerplant rating may perform,Certificated mechanics with a powerplant rating may perform,"any inspection required by the Federal Aviation Regulations on a powerplant or propeller or any component thereof, and may release the same to service.","100-hour and/or annual inspections required by the Federal Aviation Regulations on powerplants, propellers, or any components thereof, and may release the same to service.","100-hour inspections required by the Federal Aviation Regulations on powerplants, propellers, or any components thereof, and may release the same to service.",C
"A repair, as performed on an airframe, shall mean","A repair, as performed on an airframe, shall mean",the upkeep and preservation of the airframe including the component parts thereof.,the restoration of the airframe to a condition for safe operation after damage or deterioration.,simple or minor preservation operations and the replacement of small standard parts not involving complex assembly operations.,B
"Under the Federal Aviation Regulations, an aviation maintenance technician is required to perform maintenance on an aircraft so that it","Under the Federal Aviation Regulations, an aviation maintenance technician is required to perform maintenance on an aircraft so that it",always meets its original type design.,is at least equal to its original or properly altered condition.,"exceeds minimum standards with regard to aerodynamic function, structural strength, resistance to vibration, and other qualities affecting airworthiness.",B
"The replacement of fabric on fabric-covered parts such as wings, fuselages, stabilizers, or control surfaces is considered to be a","The replacement of fabric on fabric-covered parts such as wings, fuselages, stabilizers, or control surfaces is considered to be a",minor repair unless the new cover is different in any way from the original cover.,minor repair unless the underlying structure is altered or repaired.,major repair even though no other alteration or repair is performed.,C
Which is classified as a major repair?,Which is classified as a major repair?,The splicing of skin sheets.,Installation of new engine mounts obtained from the aircraft manufacturer.,Any repair of damaged stressed metal skin.,A
The 100-hour inspection required by Federal Aviation Regulations for certain aircraft being operated for hire may be performed by,The 100-hour inspection required by Federal Aviation Regulations for certain aircraft being operated for hire may be performed by,"persons working under the supervision of an appropriately rated mechanic, but the aircraft must be approved by the mechanic for return to service.",appropriately rated mechanics only if they have an inspection authorization.,appropriately rated mechanics and approved by them for return to service.,C
A person working under the supervision of a certificated mechanic with an airframe and powerplant rating is not authorized to perform,A person working under the supervision of a certificated mechanic with an airframe and powerplant rating is not authorized to perform,repair of a wing brace strut by welding.,a 100-hour inspection.,repair of an engine mount by riveting.,B
"Certificated mechanics, under their general certificate privileges, may","Certificated mechanics, under their general certificate privileges, may",perform minor repairs to instruments.,perform 100-hour inspection of instruments.,perform minor alterations to instruments.,B
An Airworthiness Directive requires that a propeller be altered. Certificated mechanics could,An Airworthiness Directive requires that a propeller be altered. Certificated mechanics could,perform and approve the work for return to service if it is a minor alteration.,not perform the work because it is an alteration.,"not perform the work because they are not allowed to perform and approve for return to service, repairs or alterations to propellers.",A
The replacement of a damaged vertical stabilizer with a new identical stabilizer purchased from the aircraft manufacturer is considered a,The replacement of a damaged vertical stabilizer with a new identical stabilizer purchased from the aircraft manufacturer is considered a,minor alteration.,major repair.,minor repair.,C
FAA certificated mechanics may,FAA certificated mechanics may,approve for return to service a major repair for which they are rated.,supervise and approve a 100-hour inspection.,approve for return to service a minor alteration they have performed appropriate to the rating(s) they hold.,C
A certificated mechanic with a powerplant rating may perform the,A certificated mechanic with a powerplant rating may perform the,annual inspection required by the Federal Aviation Regulations on a powerplant or any component thereof and approve and return the same to service.,100-hour inspection required by the Federal Aviation Regulations on a powerplant or any component thereof and approve and return the same to service.,"100-hour inspection required by the Federal Aviation Regulations on an airframe, powerplant or any other component thereof and approve and return the same to service.",B
What part of the Federal Aviation Regulations prescribes the requirements for issuing mechanic certificates and associated ratings and the general operating rules for the holders of these certificates and ratings?,What part of the Federal Aviation Regulations prescribes the requirements for issuing mechanic certificates and associated ratings and the general operating rules for the holders of these certificates and ratings?,14 CFR Part 43.,14 CFR Part 91.,14 CFR Part 65.,C
"A certificated mechanic shall not exercise the privileges of the certificate and rating unless, within the preceding 24 months, the Administrator has found that the certificate holder is able to do the work or the certificate holder has","A certificated mechanic shall not exercise the privileges of the certificate and rating unless, within the preceding 24 months, the Administrator has found that the certificate holder is able to do the work or the certificate holder has",served as a mechanic under the certificate and rating for at least 18 months.,served as a mechanic under the certificate and rating for at least 12 months.,served as a mechanic under the certificate and rating for at least 6 months.,C
"Under Title 14 of the Code of Federal Regulations, what is the maximum penalty for falsification, alteration, or fraudulent reproduction of certificates, logbooks, reports, and records?","Under Title 14 of the Code of Federal Regulations, what is the maximum penalty for falsification, alteration, or fraudulent reproduction of certificates, logbooks, reports, and records?",Ineligibility to receive any certificate or rating for one year.,"Imprisonment for one year and a $5,000 fine.",Suspension or revocation of any certificate held.,C
How long does the holder of a certificate issued under Part 65 have to notify the FAA after any change in permanent mailing address?,How long does the holder of a certificate issued under Part 65 have to notify the FAA after any change in permanent mailing address?,30 days.,120 days.,90 days.,A
How long is a mechanic certificate with airframe and/or powerplant rating(s) valid?,How long is a mechanic certificate with airframe and/or powerplant rating(s) valid?,Until the holder is relieved of duties for which the holder was employed and certificated.,"Until voluntarily surrendered, permanently revoked, or temporarily suspended.",24 months after the holder has last exercised the privileges of the certificate.,B
Why is a mechanic applicant issued a temporary certificate after successful completion of the required tests?,Why is a mechanic applicant issued a temporary certificate after successful completion of the required tests?,To allow for review of their application and supplementary documents.,So that a background check/ investigation may be completed.,Both of the other two choices.,A
What is the maximum duration of a temporary airman certificate?,What is the maximum duration of a temporary airman certificate?,60 days.,90 days.,120 days.,C
"When may an otherwise qualified mechanic who does not read, write, speak, and understand the English language be eligible to apply for a mechanic certificate?","When may an otherwise qualified mechanic who does not read, write, speak, and understand the English language be eligible to apply for a mechanic certificate?",When a special authorization has been granted by the Administrator.,When employed outside the United States by a U.S. air carrier.,When employed outside the United States.,B
Which of the following statements is true for a certificated and appropriately rated mechanic regarding repairs and alterations?,Which of the following statements is true for a certificated and appropriately rated mechanic regarding repairs and alterations?,"He or she may perform an airframe major repair or major alteration, but cannot approve the work for return to service.","He or she may perform airframe minor repairs and minor alterations and approve the work for return to service, but cannot perform an airframe major repair or major alteration.","He or she may perform an airframe major repair or major alteration and approve the work, but not the entire aircraft, for return to service.",A
"(1) Certificated mechanics with an airframe rating may perform a minor repair to an airspeed indicator providing they have the necessary equipment available.|(2) Certificated mechanics with a powerplant rating may perform a major repair to a propeller providing they have the necessary equipment available.|Regarding the above statements,","(1) Certificated mechanics with an airframe rating may perform a minor repair to an airspeed indicator providing they have the necessary equipment available.|(2) Certificated mechanics with a powerplant rating may perform a major repair to a propeller providing they have the necessary equipment available.|Regarding the above statements,",only 1 is true.,neither 1 nor 2 is true.,only 2 is true.,B
Who is responsible for determining that materials used in aircraft maintenance and repair are of the proper type and conform to the appropriate standards?,Who is responsible for determining that materials used in aircraft maintenance and repair are of the proper type and conform to the appropriate standards?,The installing person or agency.,The owner or operator  of the aircraft.,The manufacturer of the aircraft.,A
"Which of these publications contains standards for protrusion of bolts, studs, and screws through self-locking nuts?","Which of these publications contains standards for protrusion of bolts, studs, and screws through self-locking nuts?",AC 43.13-1B.,AC 43.13-2.,Aircraft Specifications or Type Certificate Data Sheets.,A
The replacement of a damaged engine mount with a new identical engine mount purchased from the aircraft manufacturer is considered a,The replacement of a damaged engine mount with a new identical engine mount purchased from the aircraft manufacturer is considered a,"major or minor repair, depending upon the complexity of the installation.",major repair.,minor repair.,C
Who has the authority to approve for return to service a propeller after a 100-hour inspection?|1. A mechanic with a powerplant rating.|2. Any certificated repairman.|3. A non-certificated mechanic working under the supervision of a certificated mechanic with airframe and powerplant ratings.,Who has the authority to approve for return to service a propeller after a 100-hour inspection?|1. A mechanic with a powerplant rating.|2. Any certificated repairman.|3. A non-certificated mechanic working under the supervision of a certificated mechanic with airframe and powerplant ratings.,1.,2.,1 and 3.,A
Instrument repairs may be performed,Instrument repairs may be performed,by the instrument manufacturer only.,by an FAA-approved instrument repair station.,on airframe instruments by mechanics with an airframe rating.,B
"Which of the following terms is/are used to indicate specific measured distances from the datum and/or other points identified by the manufacturer, to points in or on the aircraft?|1. Zone numbers.|2. Reference numbers.|3. Station numbers.","Which of the following terms is/are used to indicate specific measured distances from the datum and/or other points identified by the manufacturer, to points in or on the aircraft?|1. Zone numbers.|2. Reference numbers.|3. Station numbers.",1 and 3.,3.,2.,B
"What is the total capacitance of a circuit containing three capacitors in parallel with capacitances of .02 microfarad, .05 microfarad, and .10 microfarad, respectively?","What is the total capacitance of a circuit containing three capacitors in parallel with capacitances of .02 microfarad, .05 microfarad, and .10 microfarad, respectively?",.170 uF.,0.125 pF.,.0125 uF.,A
"Which of the following is Newton's first law of motion, generally termed the law of inertia?","Which of the following is Newton's first law of motion, generally termed the law of inertia?","To every action there is an equal and opposite reaction. If a force is applied to an object, the object will supply a resistive force exactly equal to and in the opposite direction of the force applied.","Force is proportional to the product of mass and acceleration. When a force acts upon a body, the momentum of that body is changed.","Objects at rest tend to remain at rest and objects in motion tend to remain in motion at the same speed and in the same direction, unless acted on by an external force.",C
What will a voltmeter read if properly connected across a closed switch in a circuit with electrical power on?,What will a voltmeter read if properly connected across a closed switch in a circuit with electrical power on?,Voltage drop in the component(s) the switch is connected to.,System voltage.,Zero voltage.,C
"In a sectional view drawing, what sections illustrate particular parts of an object?","In a sectional view drawing, what sections illustrate particular parts of an object?",Removed.,Revolved.,Half.,A
How is a quality system assured?,How is a quality system assured?,By an indepedent organization.,By a dependent organization.,By an internal reporting and auditing system.,C
"According to Dr. James Reason, there are two types of human failure which can occur. They are:","According to Dr. James Reason, there are two types of human failure which can occur. They are:",active and latent.,mental and physical.,proper and improper.,A
Many areas of aviation have shifted their focus from eliminating error to,Many areas of aviation have shifted their focus from eliminating error to,preventing and managing error.,identifying and mitigating error.,reducing and containing error.,A
"When we think of aviation safety in a contemporary way, human error is","When we think of aviation safety in a contemporary way, human error is",the starting point.,the ending point.,the intervention point.,A
"All of the following are consequences of human error, except","All of the following are consequences of human error, except",mental stressor.,catastrophic.,personal injury.,A
The positive aspects of human factor issues are referred to as the,The positive aspects of human factor issues are referred to as the,Magnificent Seven.,Dirty Dozen.,MEDA.,A
"The SHEL model is another human factors tool. The goal is to determine not only what the problem is, but also","The SHEL model is another human factors tool. The goal is to determine not only what the problem is, but also",where and why it exists.,how we prevent the problem.,how many factors contribute to the error.,A
The three types of human error are,The three types of human error are,"omission, commission, and extraneous.","active, latent, and stressor.","mental, situational, and physiological.",A
Convert farads to microfarads by,Convert farads to microfarads by,multiplying farads by 10 to the power of 6,multiplying picofarads by 10 to the power of 6,multiplying microfarads by 10 to the power of 6,A
Convert farads to picofarads by:,Convert farads to picofarads by:,multiplying farads by 10 to the power of 12.,multiplying microfarads by 10 to the power of -12.,multiplying picofarads by 10 to the power of 12.,A
Which effect does not apply to the movement of electrons flowing in a conductor?,Which effect does not apply to the movement of electrons flowing in a conductor?,Magnetic energy.,Thermal energy.,Static energy.,C
What is the basic unit of electrical quantity?,What is the basic unit of electrical quantity?,Electromotive force.,Ampere.,Coulomb.,C
"(1) Sketches are usually made with the aid of drafting instruments._x000D_
(2) Sketches are usually more complicated to make when using graph paper._x000D_
Regarding the above statements,","(1) Sketches are usually made with the aid of drafting instruments._x000D_
(2) Sketches are usually more complicated to make when using graph paper._x000D_
Regarding the above statements,",Only 1 is true.,Only 2 is true.,Neither 1 nor 2 is true.,C
What is used to indicate that a surface must be machine finished?,Which substance is used to indicate that a surface must be machine finished?,Text.,Leader lines.,Finished marks.,C
"In order to locate wing and stabilizer frames, what numbering system is used?","In order to locate wing and stabilizer frames, what numbering system is used?",Dimension numbers.,Station numbers.,Scale numbers.,B
"When a Teflon hose has been in service for a time, what condition may have occurred and/or what precaution should be taken when it is temporarily removed from the aircraft?","When a Teflon hose has been in service for a time, what condition may have occurred and/or what precaution should be taken when it is temporarily removed from the aircraft?",The hose interior must be kept wet with the fluid carried to prevent embrittlement/deterioration.,The hose may become stiff and brittle if not flexed or moved regularly.,"The hose may have developed a set, or have been manufactured with a pre-set shape, and must be supported to maintain its shape.",C
What is defined as a group of bits representing a complete piece of information?,What is defined as a group of bits representing a complete piece of information?,Byte.,Bit.,Word.,A
Convert the binary number 00001111 to a whole number.,Convert the binary number 00001111 to a whole number.,31,15,8,B
(Refer to the Figure 66.) Solve the equation.,(Refer to the Figure 66.) Solve the equation.,"35,998","36,002","62,208",B
"A person installing a product, part, or appliance on a type certificated product must make certain that the item's records document the","A person installing a product, part, or appliance on a type certificated product must make certain that the item's records document the","product, part, or material meets FAA airworthiness standards.",source from which the part came.,product or material was not produced under an FAA production approval.,A
A Technical Standard Order (TSO) is issued by whom?,A Technical Standard Order (TSO) is issued by whom?,The Aircraft industry.,Part manufacturers.,The Administrator.,C
What is the opposition to the flow of AC produced by an electromagnetic field (EMF) with generated back voltage called?,What is the opposition to the flow of AC produced by an electromagnetic field (EMF) with generated back voltage called?,Inductive reactance.,Capacitive reactance.,Mutual inductance.,A
Electrostatic fields are also known as,Electrostatic fields are also known as,dielectric fields.,electrostatic fields.,static fields.,A
"In a parallel circuit with three 6-ohm resistors across a 12-volt battery, what is the total current (It) value in the circuit?","In a parallel circuit with three 6-ohm resistors across a 12-volt battery, what is the total current (It) value in the circuit?",2 amps.,6 amps.,12 amps.,B
"In a parallel circuit with four 6-ohm resistors across a 24-volt battery, what is the total voltage across resistor-three (VR3) in the circuit?","In a parallel circuit with four 6-ohm resistors across a 24-volt battery, what is the total voltage across resistor-three (VR3) in the circuit?",6 volts.,18 volts.,24 volts.,C
Which of the following logic gates will provide an active high out only when all inputs are different?,Which of the following logic gates will provide an active high out only when all inputs are different?,XNOR.,NAND.,XOR.,C
Which of the following best describes the operating principal in a nickel-cadmium battery installed in an aircraft?,Which of the following best describes the operating principal in a nickel-cadmium battery installed in an aircraft?,"At full charge, the electrolyte will be at its lowest level and should be filled.","To completely charge a nickel-cadmium battery, some gassing must take place; thus, some water will be used.","When positive plates slowly give up oxygen, which is regained by the negative plates, the battery is charging.",B
What metal has special short-time heat properties and is used in the construction of aircraft firewalls?,What metal has special short-time heat properties and is used in the construction of aircraft firewalls?,Stainless steel.,Chrome molybdenum alloy steel.,Titanium alloy.,C
